Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total
SE Palmeiras,31,"25,9",8,"7,70 mi. €","238,75 mi. €"
CR Flamengo,31,"27,1",7,"7,07 mi. €","219,15 mi. €"
Botafogo FR,34,"26,0",6,"4,00 mi. €","135,95 mi. €"
SC Corinthians,32,"26,7",10,"3,85 mi. €","123,25 mi. €"
SC Internacional,41,"25,4",9,"2,60 mi. €","106,55 mi. €"
Grêmio FBPA,34,"26,6",11,"2,89 mi. €","98,10 mi. €"
Santos FC,34,"27,0",7,"2,83 mi. €","96,10 mi. €"
Atlético Mineiro,29,"26,7",7,"3,23 mi. €","93,70 mi. €"
EC Bahia,29,"27,7",5,"3,17 mi. €","92,00 mi. €"
Cruzeiro EC,28,"27,5",6,"3,09 mi. €","86,55 mi. €"
CR Vasco da Gama,32,"28,2",11,"2,68 mi. €","85,80 mi. €"
São Paulo FC,36,"26,7",7,"2,24 mi. €","80,65 mi. €"
Fluminense FC,35,"28,3",9,"2,10 mi. €","73,60 mi. €"
RB Bragantino,30,"25,2",7,"2,34 mi. €","70,10 mi. €"
Fortaleza EC,32,"29,6",10,"1,50 mi. €","47,85 mi. €"
EC Vitória,38,"27,3",1,"1,05 mi. €","39,95 mi. €"
Sport Recife,32,"28,4",8,"1,15 mi. €","36,65 mi. €"
Ceará SC,36,"28,6",5,833 mil €,"30,00 mi. €"
Mirassol FC,36,"29,1",1,506 mil €,"18,23 mi. €"
EC Juventude,37,"27,9",3,470 mil €,"17,38 mi. €"
